step,episode,episode_return
500,0,230.6340000000049
1000,1,456.8330000000321
1500,2,502.7400000000242
2000,3,150.27500000000305
2500,4,738.5920000000303
3000,5,608.8030000000244
3500,6,601.6550000000277
4000,7,772.3180000000242
4500,8,806.0330000000183
5000,9,462.78400000001994
5500,10,525.2530000000252
6000,11,887.6020000000295
6500,12,703.4910000000216
7000,13,925.5900000000285
7500,14,1022.4560000000264
8000,15,877.1880000000277
8500,16,929.2390000000273
9000,17,1043.0800000000277
9500,18,1033.3740000000287
10000,19,995.2800000000282
10500,20,1209.7510000000302
11000,21,1140.7050000000293
11500,22,1204.3850000000264
12000,23,985.3970000000298
12500,24,1110.774000000028
13000,25,1080.3340000000237
13500,26,1045.1490000000244
14000,27,1084.1890000000276
14500,28,943.8090000000284
15000,29,1031.4800000000278
15500,30,997.2070000000307
16000,31,1007.4620000000301
16500,32,603.9440000000282
17000,33,1353.4760000000333
17500,34,1013.6150000000287
18000,35,1162.9390000000299
18500,36,79.72500000001925
19000,37,519.7820000000396
19500,38,-195.16799999998702
20000,39,630.3120000000321
20500,40,20.9999999999931
21000,41,85.59400000002383
21500,42,51.86800000002536
22000,43,-674.5129999999909
22500,44,-127.02899999998421
23000,45,-396.87099999998736
23500,46,-79.59699999997517
24000,47,-70.15899999998088
24500,48,-333.57199999998676
25000,49,-240.91299999998876
25500,50,-595.9809999999891
26000,51,-426.48199999997945
26500,52,240.64100000002736
27000,53,-290.7909999999781
27427,54,-358.1659999999879
27927,55,-502.0889999999888
28427,56,-460.3659999999885
28817,57,-408.2509999999903
29317,58,-94.57099999997091
29596,59,-226.65699999999532
29890,60,-181.91599999999164
30282,61,-111.67699999998594
30497,62,-54.418999999995485
30722,63,-27.402999999993042
31160,64,-628.4309999999941
31660,65,44.215000000019764
32160,66,-813.6429999999851
32639,67,-586.549999999985
32964,68,18.051000000011648
33165,69,11.157000000006043
33468,70,-119.97599999999156
33968,71,-502.08799999998655
34468,72,-656.8259999999917
34968,73,342.36600000002295
35464,74,-610.6179999999874
35964,75,-560.5469999999896
36313,76,-119.88399999999064
36659,77,-425.37599999999355
37075,78,-110.09999999999019
37575,79,-435.2929999999886
38075,80,-795.9989999999902
38575,81,-364.81799999999413
39070,82,-1007.7399999999915
39311,83,-190.43499999999406
39541,84,-121.93999999999184
39856,85,-571.2199999999953
