update,loss,mean_q
0,120.59947967529297,1.6292884349822998
200,173.16041564941406,15.999449729919434
400,141.0132293701172,28.75555992126465
600,137.89125061035156,46.72545623779297
800,183.11997985839844,63.04196548461914
1000,404.3584289550781,85.82483673095703
1200,176.373046875,115.84940338134766
1400,236.68173217773438,159.21450805664062
1600,230.80938720703125,214.33615112304688
1800,665.115478515625,292.7871398925781
2000,1680.6285400390625,389.0207824707031
2200,461.22381591796875,513.36376953125
2400,746.283203125,679.3045654296875
2600,2184.3505859375,888.5845336914062
2800,4720.2822265625,1143.522216796875
3000,5416.720703125,1461.8182373046875
3200,3553.89794921875,1865.566162109375
3400,6138.55859375,2368.67626953125
3600,11215.2802734375,2971.525634765625
3800,18928.623046875,3707.70654296875
4000,18193.9140625,4604.8828125
4200,32577.76953125,5664.107421875
4400,36172.8125,6922.4404296875
4600,45962.58984375,8398.7998046875
4800,44212.5078125,10138.099609375
5000,77880.53125,12223.109375
5200,179933.234375,14623.3173828125
5400,137336.78125,17477.162109375
5600,332382.5625,20779.0390625
5800,530227.125,24622.494140625
6000,741988.0625,28997.076171875
6200,3693862.0,34064.87890625
6400,5570939.0,39867.42578125
6600,1188259.5,46402.03125
6800,9970177.0,53906.95703125
7000,8443159.0,62597.8359375
7200,2277752.25,72200.5546875
7400,3458638.5,83103.375
7600,14516101.0,95129.375
7800,9260615.0,108889.296875
8000,11827347.0,124262.265625
8200,60039652.0,140896.5
8400,35456016.0,158649.390625
8600,18992838.0,178812.53125
8800,22551264.0,201138.28125
9000,76869896.0,225406.703125
9200,39830256.0,252163.828125
9400,38286096.0,282227.0625
9600,99205920.0,314689.9375
9800,84717456.0,348328.0625
10000,406132512.0,385780.75
10200,171704384.0,426797.625
10400,104154896.0,469899.125
10600,2360842752.0,515384.3125
10800,296166592.0,564208.875
11000,1500490752.0,616089.4375
11200,386416256.0,672806.6875
11400,276735232.0,729443.6875
11600,603325568.0,793554.625
11800,654143744.0,860290.5625
12000,556191296.0,926919.0625
12200,2674152448.0,997201.1875
12400,2581405440.0,1071491.25
12600,1812289280.0,1150330.625
12800,3232747008.0,1231192.875
13000,2759517440.0,1311431.5
13200,12792181760.0,1391106.875
13400,1287762944.0,1474057.5
13600,2518007808.0,1559341.25
13800,7672174080.0,1642431.375
14000,3095350272.0,1724553.375
14200,4748427776.0,1805322.25
14400,1354858496.0,1887222.5
14600,3538331648.0,1964586.0
14800,2961664256.0,2039965.25
15000,10330369024.0,2119567.25
15200,9060697088.0,2200336.0
15400,4810699264.0,2290487.0
15600,2798494720.0,2379452.0
15800,10714320896.0,2472993.0
16000,6207768576.0,2563345.0
16200,19685298176.0,2652372.0
16400,5190434816.0,2750979.0
16600,9608691712.0,2854342.0
16800,6894696448.0,2951159.0
17000,7867578880.0,3048219.0
17200,23325085696.0,3150276.5
17400,11592220672.0,3267144.0
17600,6429180416.0,3379400.25
17800,26786836480.0,3496973.5
18000,30083590144.0,3616087.5
18200,34573852672.0,3740159.0
18400,21238560768.0,3873192.0
18600,14198651904.0,4003328.0
18800,16210318336.0,4150769.25
19000,10398769152.0,4292397.0
19200,42562387968.0,4439829.5
19400,16308471808.0,4589488.0
19600,157530423296.0,4745998.0
19800,118927704064.0,4905460.5
