episode,total_return
1,-209.468
2,-119.57300000000001
3,-284.418
4,-216.45600000000002
5,-233.064
6,10.369999999999989
7,-3.3400000000000305
8,-34.048
9,-594.051
10,-265.74499999999995
11,137.36399999999998
12,-95.25300000000001
13,-771.18
14,-87.273
15,-886.688
16,-726.019
17,-445.622
18,-1196.884
19,-840.464
20,-1065.474
21,-274.87
22,-746.26
23,-847.659
24,-134.573
25,-609.763
26,-1093.17
27,-814.032
28,-743.85
29,-587.635
30,-599.908
31,-1103.973
32,-992.896
33,-102.507
34,-1376.747
35,2.7220000000000057
36,-1260.921
37,-1439.829
38,-885.721
39,-1177.457
40,-1095.225
41,-1003.8489999999999
42,-1139.671
43,-1149.137
44,-1145.705
45,-1045.4370000000001
46,-1632.412
47,-1094.788
48,-1349.237
49,-1127.09
50,-1492.392
51,-1169.2060000000001
52,-1033.137
53,-977.2810000000001
54,-890.4219999999999
55,-1312.146
56,-1118.375
57,-1080.421
58,-1098.731
59,-1163.444
60,-1447.778
61,-1072.594
62,-657.499
63,-1468.415
64,-1109.554
65,-944.82
66,-1007.442
67,-1567.345
68,-505.17199999999997
69,-1082.221
70,-999.301
71,-353.351
72,-1052.401
73,-1060.212
74,-1067.528
75,-849.749
76,-1020.613
77,-653.093
78,-1112.336
79,-1222.286
80,-284.764
81,-919.198
82,-1388.135
83,-1372.2740000000001
84,-946.592
85,-990.3679999999999
86,-824.235
87,-998.358
88,-908.23
89,-1177.681
90,-1052.382
91,-1088.507
92,-917.5899999999999
93,-917.729
94,-1237.03
95,-1070.807
96,-1158.631
97,-1257.279
98,-691.092
99,-1034.766
100,-268.156
101,-896.413
102,-1176.473
103,-872.968
104,-1238.53
105,-854.885
106,-1312.737
107,-797.652
108,-862.87
109,-1125.116
110,-928.308
111,-337.29200000000003
112,-1148.844
113,-821.4879999999999
114,-1376.999
115,-1291.596
116,-1140.632
117,-1351.8419999999999
118,-930.28
119,-1070.393
120,-878.317
121,-701.32
122,-699.873
123,-1050.9279999999999
124,-1008.63
125,-1232.714
126,-1513.4470000000001
127,-1241.481
128,-888.774
129,-664.903
130,-1023.953
131,-972.128
132,-219.99
133,-235.764
134,-261.041
135,-181.804
136,-386.531
137,-313.481
138,-269.171
139,-131.859
140,-212.448
141,-197.979
142,-71.16699999999999
143,-200.366
144,-183.323
145,-366.685
146,-185.66199999999998
147,-468.219
148,-308.224
149,-185.817
150,-319.53200000000004
151,-448.008
152,-331.911
153,-154.245
154,-192.098
155,-140.532
156,-300.43399999999997
157,-276.35
158,-309.63100000000003
159,-234.80800000000002
160,-400.216
161,-331.914
162,-304.242
163,-267.354
164,-229.61
165,-256.416
166,-2.1100000000000017
167,-390.47200000000004
