episode,total_return
1,-119.39600000000002
2,-905.9549999999999
3,-171.22700000000003
4,-46.572
5,-131.736
6,-142.92
7,-505.892
8,-227.82200000000003
9,-93.325
10,-203.017
11,-238.67600000000002
12,-114.668
13,33.68999999999999
14,-119.913
15,-76.15800000000002
16,-349.729
17,132.242
18,-237.48600000000002
19,-267.717
20,-244.348
21,-249.629
22,-176.51600000000002
23,-130.92800000000003
24,-198.483
25,-273.974
26,-93.36500000000001
27,-166.63400000000001
28,-154.874
29,-188.637
30,-339.317
31,-204.96699999999998
32,-34.696
33,-229.72199999999998
34,-160.72299999999998
35,-351.459
36,-139.056
37,-154.08599999999998
38,-249.90800000000002
39,-129.98100000000002
40,-393.66499999999996
41,-153.656
42,-154.547
43,-213.03
44,-184.063
45,-138.794
46,-258.81399999999996
47,-153.57299999999998
48,-174.20700000000002
49,-349.537
50,-199.615
51,-214.154
52,-123.516
53,-160.02399999999997
54,-169.388
55,-339.84799999999996
56,-153.689
57,-184.47799999999998
58,-243.969
59,-78.297
60,-264.355
61,-129.906
62,-144.35100000000003
63,-169.237
64,-288.63800000000003
65,-250.88900000000004
66,-189.489
67,-213.78
68,-85.21000000000001
69,-394.604
70,-143.977
71,-334.341
72,-49.28600000000001
73,-213.632
74,-108.42200000000001
75,-243.92499999999998
76,-218.507
77,-273.075
78,-294.923
79,-128.34500000000003
80,-318.498
81,-244.093
82,-114.70899999999999
83,-18.419999999999995
84,-63.85799999999999
85,-94.911
86,-83.20600000000003
87,-138.698
88,-78.628
89,-138.448
90,-259.067
91,-140.124
92,-159.63400000000001
93,-61.44200000000001
94,-98.18700000000001
95,-190.416
96,-158.939
97,-106.14400000000002
98,-155.10800000000003
99,-160.243
100,-16.785000000000007
101,-145.493
102,23.905
103,-214.183
104,-159.685
105,-155.28900000000002
106,-244.383
107,-115.75299999999999
108,-175.353
109,24.136000000000003
110,-138.355
111,-187.387
112,-19.863999999999987
113,-213.914
114,-139.66899999999998
115,-124.436
116,-160.045
117,-79.80999999999999
118,-19.82899999999999
119,-303.817
120,-228.75099999999998
121,-11.398000000000016
122,-154.65
123,-123.022
124,-158.672
125,-65.65100000000002
126,-129.537
127,-154.672
128,-243.76899999999998
129,-110.00300000000001
130,-139.00099999999998
131,-109.74800000000002
132,-189.90300000000002
133,-199.01800000000003
134,-64.62299999999999
135,-92.038
136,-399.699
137,-304.322
138,-203.46500000000003
139,-296.574
140,-490.022
141,-85.03500000000001
142,-200.202
143,-263.743
144,-144.773
145,-154.951
146,-288.47700000000003
147,-215.216
148,-199.76799999999997
149,-251.78500000000003
150,-206.184
151,-371.103
152,-442.812
153,-205.166
154,-286.149
155,-436.728
156,-101.618
157,-169.526
158,-154.509
159,-97.60100000000001
160,-72.22099999999999
161,-492.217
162,-205.301
163,-579.488
164,-475.414
165,-198.061
166,-266.93800000000005
167,-222.222
168,-309.72700000000003
169,-159.676
170,-341.729
171,-229.317
172,-269.557
173,-490.641
174,-258.894
175,-390.686
176,-588.552
177,-229.433
178,-260.833
179,-366.094
180,-277.423
181,-459.852
182,-145.014
183,-281.533
184,-214.394
185,-115.41199999999999
186,-176.073
187,-184.38500000000002
188,-355.56699999999995
189,-259.205
190,-185.845
191,-333.283
192,-81.04899999999999
193,-139.254
194,-170.48999999999998
195,-258.767
196,-204.517
197,-469.431
198,-169.337
199,-318.69300000000004
200,-274.529
201,-272.512
202,-240.918
203,-71.83300000000001
204,-264.366
205,-363.785
206,-256.51300000000003
207,-485.274
208,-159.794
209,-197.255
210,-255.76
211,-271.603
212,-90.77699999999999
213,-260.32599999999996
214,-249.221
215,-190.674
216,-259.027
217,-108.88400000000001
218,-155.375
219,-175.59099999999998
220,-219.75000000000003
221,-266.375
222,-370.4
223,-266.27500000000003
224,-346.935
225,-395.61100000000005
226,-124.18599999999998
227,-606.698
228,-285.371
229,-228.99499999999998
230,-249.786
231,-49.842000000000006
232,-304.647
233,-165.35300000000004
234,-273.897
235,-291.241
236,-154.852
237,-325.604
238,-174.654
239,-155.34400000000002
240,-191.00300000000001
241,-210.053
242,-303.61899999999997
243,-160.377
244,-151.573
245,-295.082
246,-229.839
247,-429.30600000000004
248,-206.364
249,-320.683
250,-287.711
251,-130.783
252,-213.17600000000002
253,-290.17199999999997
254,-315.24
255,-377.63599999999997
256,-160.09
257,-341.643
258,-126.10600000000002
259,-32.346000000000004
260,-303.048
261,-348.946
262,-320.148
263,-87.51400000000001
264,-144.198
265,-219.738
266,-81.25800000000001
267,-129.53400000000002
268,-338.591
269,-339.42900000000003
270,-265.94300000000004
271,-324.154
272,-437.851
273,-333.281
274,-344.673
275,-151.88
276,-294.06
277,-319.591
278,-207.733
279,-323.53200000000004
280,-1430.462
281,-1389.492
282,-1516.833
283,-1344.249
284,-1048.47
285,-1039.838
286,-1773.638
287,-1198.258
288,-1383.459
289,-826.373
290,-1044.322
291,-1727.1000000000001
292,-1031.048
293,-1247.463
294,-998.734
295,-1352.4470000000001
296,-1144.5529999999999
297,-1216.006
298,-1191.195
299,-1140.964
300,-1348.867
301,-1370.607
302,-1397.479
303,-1410.987
304,-1207.14
305,-1313.087
306,-1068.917
307,-1675.49
308,-984.693
309,-1212.129
310,-1139.86
311,-1045.237
312,-1335.144
313,-1590.672
314,-1184.443
315,-1724.71
316,-1142.823
317,-1386.58
318,-1322.023
319,-919.9540000000001
320,-1385.58
321,-1593.705
322,-1228.293
323,-1356.835
324,-1268.945
325,-901.534
326,-1214.287
327,-1460.677
328,-1290.003
329,-863.238
330,-1547.236
331,-1501.08
332,-909.014
333,-1401.322
334,-1237.346
335,-1374.034
336,-1704.105
337,-1088.429
338,-1321.062
339,-797.765
340,-1154.629
341,-1186.105
342,-1064.115
343,-1021.056
344,-1390.817
345,-922.225
346,-1030.358
347,-1046.131
348,-1140.2740000000001
349,-1459.293
350,-1148.284
351,-1086.445
352,-1042.829
353,-1537.323
354,-1416.012
355,-908.2669999999999
356,-676.92
357,-1361.882
358,-907.348
359,-1045.554
360,-1379.23
361,-1207.179
362,-1619.822
363,-961.046
364,-1113.777
365,-922.1089999999999
366,-1407.609
367,-960.781
368,-1356.1
369,-1203.449
370,-1307.395
371,-1404.076
372,-1409.118
373,-1148.01
374,-1367.948
375,-1250.697
376,-839.002
377,-758.757
378,-1171.548
379,-1338.414
380,-1194.144
381,-1135.411
382,-1286.169
383,-1273.833
384,-1245.125
385,-773.091
386,-1579.141
387,-1083.276
388,-928.526
389,-1268.61
390,-1014.678
391,-1296.089
392,-1184.568
393,-1494.381
394,-1016.322
395,-1202.693
396,-1144.987
397,-1444.979
398,-574.314
399,-869.461
400,-1144.368
401,-884.264
402,-1335.924
403,-1047.564
404,-1009.481
405,-1266.762
406,-1318.461
407,-1118.16
408,-1418.9279999999999
409,-1046.755
410,-1165.1000000000001
411,-1241.052
412,-979.265
413,-1177.581
414,-1538.962
415,-1177.344
416,-1311.466
417,-1429.611
418,-1116.204
419,-1077.199
420,-1284.214
421,-946.346
422,-1302.714
423,-1185.115
424,-1476.6019999999999
425,-1380.054
426,-1267.451
427,-1226.924
428,-1121.955
429,-1087.958
430,-1062.674
431,-1003.259
432,-696.251
433,-755.4010000000001
434,-1323.519
435,-869.441
436,-1974.147
437,-1223.546
438,-1226.515
439,-1053.555
440,-1377.884
441,-1078.176
442,-1315.816
443,-1425.334
444,-821.883
445,-1346.98
446,-857.913
447,-934.261
448,-1267.7649999999999
449,-1183.342
450,-1336.724
451,-1279.01
452,-1201.4859999999999
453,-777.379
454,-1342.171
455,-1483.67
456,-1659.905
457,-881.022
458,-1392.648
459,-1044.743
460,-1182.154
461,-1481.708
462,-1425.419
463,-1300.048
464,-1321.719
465,-1254.081
466,-1378.357
467,-1269.269
468,-1058.97
469,-1290.9759999999999
470,-1252.784
471,-921.785
472,-1093.808
473,-1388.451
474,-1202.3120000000001
475,-1307.224
476,-649.049
477,-1355.244
478,-866.733
479,-929.991
480,-1365.877
481,-883.157
482,-1197.785
483,-1420.914
484,-1344.402
485,-1237.871
486,-893.481
487,-1231.063
488,-1534.336
489,-1363.395
490,-1318.4
491,-848.157
492,-1304.141
493,-1187.232
494,-1032.372
495,-1281.169
496,-1381.766
497,-911.854
498,-736.716
499,-1232.121
500,-1331.788
501,-1207.942
502,-1031.912
503,-1111.502
504,-1021.779
505,-1417.6090000000002
506,-927.997
507,-1367.6970000000001
508,-914.31
509,-983.6990000000001
510,-1030.957
511,-1142.926
512,-1096.627
513,-1059.513
514,-879.577
515,-1359.429
516,-1408.439
517,-1292.954
518,-1301.662
