episode,total_return
1,-412.002
2,-169.673
3,-98.79299999999998
4,-234.239
5,-72.25900000000001
6,-160.50700000000003
7,-64.132
8,-378.544
9,-463.36
10,-255.88700000000003
11,-352.595
12,-6.751999999999998
13,-198.155
14,-214.476
15,-123.674
16,-226.084
17,-72.10799999999999
18,-325.922
19,-120.35200000000002
20,-252.76899999999998
21,-82.439
22,-246.744
23,-191.76700000000002
24,-234.99800000000002
25,-587.0350000000001
26,-1062.37
27,-93.07200000000002
28,-157.50000000000003
29,-877.41
30,-1152.447
31,-785.281
32,-201.65
33,-434.646
34,-332.023
35,-931.738
36,-1168.743
37,-416.985
38,-49.86400000000002
39,94.84
40,-538.475
41,-135.14100000000002
42,-402.952
43,-279.688
44,-187.864
45,-315.925
46,-223.73300000000003
47,-903.196
48,-193.673
49,-1008.592
50,-200.253
51,-184.24000000000004
52,-291.50300000000004
53,-104.777
54,-288.14300000000003
55,-326.67699999999996
56,-53.749
57,-501.873
58,-274.28000000000003
59,-48.632
60,-23.923000000000002
61,-384.163
62,84.66199999999998
63,-112.12299999999999
64,-173.72100000000003
65,-525.595
66,-174.257
67,-165.102
68,-10.100000000000026
69,-226.4
70,-91.683
71,-186.716
72,-346.49800000000005
73,-258.838
74,-271.534
75,-307.18399999999997
76,-368.019
77,-129.27700000000002
78,-63.12400000000002
79,-97.528
80,-10.897999999999996
81,-452.472
82,-97.003
83,-185.268
84,-69.13999999999999
85,-491.47399999999993
86,-253.648
87,-502.59000000000003
88,-49.94400000000001
89,-39.490000000000016
90,73.91000000000003
91,-61.559999999999995
92,-64.70899999999999
93,-318.654
94,-224.53
95,-48.11
96,-70.8
97,-139.932
98,-103.89100000000002
99,-214.241
100,-277.65799999999996
101,-121.83800000000002
102,-84.706
103,-43.82900000000001
104,-258.101
105,-125.814
106,-66.95700000000001
107,98.22500000000001
108,-63.901
109,-149.89600000000002
110,19.029999999999998
111,26.923999999999996
112,-74.78699999999999
113,-125.253
114,-132.61200000000002
115,-78.343
116,-180.385
117,-1.2460000000000224
118,-124.11800000000001
119,-105.464
120,-61.32499999999999
121,-360.811
122,-62.243000000000016
123,-39.924
124,-20.867
125,80.018
126,-78.42900000000002
127,-100.40699999999998
128,-83.962
129,-177.1
130,-99.806
131,-139.62599999999998
132,-46.071999999999996
133,-5.003000000000013
134,-129.27499999999998
135,-175.773
136,-174.197
137,-207.696
138,-33.951000000000015
139,-66.162
140,-53.146000000000015
141,-34.17400000000001
142,-54.581
143,-109.21100000000001
144,-170.562
145,-40.478999999999985
146,-136.975
147,-150.428
148,-234.57799999999997
149,-68.42999999999999
150,-48.064
151,-337.979
152,-125.089
153,-22.17000000000001
154,-66.014
155,-114.01400000000001
156,-245.199
157,-175.24
158,-25.57000000000001
159,-120.64200000000001
160,-126.75100000000002
161,-145.11499999999998
162,-47.18899999999999
163,-62.96899999999998
164,-175.36700000000002
165,-274.026
166,-135.729
167,-259.699
168,-134.50300000000001
169,8.921999999999988
170,-37.28499999999999
171,-79.647
172,-198.70799999999997
173,-201.216
174,-48.107000000000006
175,-69.837
176,-17.063000000000013
177,-52.32200000000002
178,-64.22
179,128.69
180,-154.34199999999998
181,-85.582
182,-288.21500000000003
183,18.959000000000017
184,-60.44200000000001
185,-295.282
186,-4.6669999999999945
187,-154.94600000000003
188,-243.948
189,33.364
190,10.97199999999999
191,-139.28900000000002
192,-107.16500000000002
193,30.590999999999994
194,-62.14000000000003
195,-124.16499999999999
196,-171.899
197,-174.73399999999998
198,-63.526
199,-173.204
200,-131.325
201,-114.97
202,63.117999999999995
203,-69.99600000000002
204,-155.06
205,-33.57300000000002
206,-2.718000000000006
207,-83.504
208,-265.53000000000003
209,-127.89900000000002
210,-138.502
211,-91.766
212,-138.85399999999998
213,-191.562
214,-130.70600000000002
215,-104.80399999999997
216,-115.15599999999999
217,-132.42700000000002
218,-120.108
219,-136.908
220,39.834
221,92.53699999999999
222,-114.634
223,-293.049
224,-151.71800000000002
225,-78.447
226,-149.79100000000003
227,-25.825999999999997
228,-160.472
229,-26.412999999999997
230,-18.036000000000005
231,-19.725000000000023
232,-120.58
233,-47.033
234,-84.93
235,-183.465
236,10.386999999999986
237,-263.113
238,-520.731
239,-16.494999999999994
240,-167.395
241,-189.34699999999998
242,-104.97099999999998
243,-145.401
244,-75.52000000000001
245,-261.446
246,-67.56199999999998
247,-288.47700000000003
248,-247.215
249,-230.56300000000002
250,-57.510000000000005
251,-136.333
252,-70.40499999999999
253,-138.241
254,-124.159
255,-189.78400000000002
256,-110.27600000000002
257,-98.664
258,3.5409999999999857
259,-189.44799999999998
260,-376.357
261,-153.431
262,-135.203
263,-50.292
264,-78.06099999999999
265,-189.87
266,23.738999999999987
267,-5.1099999999999834
268,-69.31
269,-255.53300000000002
270,-184.761
271,-353.692
272,-185.925
273,-39.918000000000006
274,-349.345
275,-144.876
276,-71.84599999999998
277,-349.395
278,-303.589
279,-206.619
280,-119.13900000000002
281,-226.507
282,-11.221000000000018
283,-159.03400000000002
284,-76.774
285,-92.82600000000001
286,-114.71199999999999
287,-300.285
288,-99.751
289,24.135999999999996
290,-222.461
291,-130.37699999999998
292,-495.19100000000003
293,-77.379
294,-170.427
295,-342.264
296,-86.19700000000002
297,41.00799999999999
298,-597.97
299,-208.742
300,-431.582
301,-175.907
302,-335.255
303,-243.01600000000002
304,-354.782
305,-155.452
306,-105.814
307,25.037999999999972
308,-66.441
309,-1209.218
